nickname,time,Post,Bag Of Words,Label
SometimesMyMumComesOutMyMouth,Thu 09-Feb-17 19:29:15,Just read this because I was intrigued by the headline! (Marketers dream me!)Never taken drugs myself unless you count smoking a spliff once at 15 and fessing up to your mam immediately because you didn't like the taste!I just wanted to say that I think this is lovely that you are offering support to each other and for those of you that are going/getting clean well bloody good on you!Much love to all. x,Just read this because I was intrigued by the headline! (Marketers dream me!)Never taken drugs myself unless you count smoking a spliff once at 15 and fessing up to your mam immediately because you didn't like the taste!I just wanted to say that I think this is lovely that you are offering support to each other and for those of you that are going/getting clean well bloody good on you!Much love to all. x,False
SpunBodgeSquarepants,Thu 09-Feb-17 19:32:42,"Witty, it sounds harsh and I'm in now way suggesting you do the same, but I left my OH because he was such a bad influence. Before getting with him the only drugs I had ever done was one pull on a joint when I was 17!! We started using coke 3-4 times a week, I got pregnant and actually have it up cold turkey for 6 months. But as soon as my DS was born I was back on it, and I justified it as I needed that break, right? I did all the night feeds, I was knackered, I needed that pick me up, that few hours to be myself again and not just a mother, to chill out and relax and have a giggle.He's still a bad influence now and we're not even together, although we still get on. He's getting a large payout soon, and I asked him today what's the first thing hes going to do, and he said 'get a little something for us to enjoy with a few bottles of prosecco' ","Witty, it sounds harsh and I'm in now way suggesting you do the same, but I left my OH because he was such a bad influence. Before getting with him the only drugs I had ever done was one pull on a joint when I was 17!! We started using coke 3-4 times a week, I got pregnant and actually have it up cold turkey for 6 months. But as soon as my DS was born I was back on it, and I justified it as I needed that break, right? I did all the night feeds, I was knackered, I needed that pick me up, that few hours to be myself again and not just a mother, to chill out and relax and have a giggle.He's still a bad influence now and we're not even together, although we still get on. He's getting a large payout soon, and I asked him today what's the first thing hes going to do, and he said 'get a little something for us to enjoy with a few bottles of prosecco' ",False
INeedAWittyNameChange,Thu 09-Feb-17 19:35:58, Spun it's not harsh at all. I have already thought that potentially that is the only answer. I would have no access to it without him and would never have the guts to find a dealer. But the thought of that makes me so sad I just can't contemplate it at the moment., Spun it's not harsh at all. I have already thought that potentially that is the only answer. I would have no access to it without him and would never have the guts to find a dealer. But the thought of that makes me so sad I just can't contemplate it at the moment.,False
flatwhite45,Thu 09-Feb-17 19:54:48,"Spun, glad you are back on here. Hope you are ok? Witty welcome on board. Your story sounds scarily similar to mine. Though I started doing coke almost 20yrs ago now. But it was only ever a four times a year thing until last year. We had a chunk of money in our account for building works we were doing, couldn't go out much as we had a toddler and a dealer who delivered in ten minutes, it was the perfect storm! We have been doing it pretty much every weekend since last March. I have cancelled on so many friends and family, the kids have had numerous pyjama days and the comedowns have got steadily worse, to the point where i have had some very dark thoughts and can only cope by hiding under the duvet till the worst of it passes. After lots of reading and soul searching, my conclusion is that: it matters not one jot what my unconscious motivations are for doing coke. If I want to stop I need to stop (or significantly curtail) my access to it and I need to find a way to surf the cravings. That's it, simple really, yet so bloody hard","Spun, glad you are back on here. Hope you are ok? Witty welcome on board. Your story sounds scarily similar to mine. Though I started doing coke almost 20yrs ago now. But it was only ever a four times a year thing until last year. We had a chunk of money in our account for building works we were doing, couldn't go out much as we had a toddler and a dealer who delivered in ten minutes, it was the perfect storm! We have been doing it pretty much every weekend since last March. I have cancelled on so many friends and family, the kids have had numerous pyjama days and the comedowns have got steadily worse, to the point where i have had some very dark thoughts and can only cope by hiding under the duvet till the worst of it passes. After lots of reading and soul searching, my conclusion is that: it matters not one jot what my unconscious motivations are for doing coke. If I want to stop I need to stop (or significantly curtail) my access to it and I need to find a way to surf the cravings. That's it, simple really, yet so bloody hard",False
flatwhite45,Thu 09-Feb-17 19:59:34,"I thought about leaving (or at least separating from DH) but I know that isn't the answer for me. I bloody love him and as bad as coke comedowns make me feel, I reckon living life without him would make me feel a whole lot worse. Having said that I do think it's important to discuss where you are both at with the coke and for him to know you really want to stop (cut down)","I thought about leaving (or at least separating from DH) but I know that isn't the answer for me. I bloody love him and as bad as coke comedowns make me feel, I reckon living life without him would make me feel a whole lot worse. Having said that I do think it's important to discuss where you are both at with the coke and for him to know you really want to stop (cut down)",False
flatwhite45,Thu 09-Feb-17 20:04:53,Serial you ok? You said it was choppy waters for you tonight. All this talk of coke is making me edgy,Serial you ok? You said it was choppy waters for you tonight. All this talk of coke is making me edgy,False
INeedAWittyNameChange,Thu 09-Feb-17 20:11:01, Sorry - you're all doing so well and I'm only just at the start of this (only thinking about the start really). I don't want to scupper everyone's efforts with my posts., Sorry - you're all doing so well and I'm only just at the start of this (only thinking about the start really). I don't want to scupper everyone's efforts with my posts.,False
flatwhite45,Thu 09-Feb-17 20:19:39,"No no not at all witty! We talk about it all the time on this thread (obvs), sometimes it helps to get it out of my system, sometimes it doesn't. That's my problem, not yours. Please stick around","No no not at all witty! We talk about it all the time on this thread (obvs), sometimes it helps to get it out of my system, sometimes it doesn't. That's my problem, not yours. Please stick around",False
ILostItInTheEarlyNineties,Thu 09-Feb-17 20:25:18,"witty we're here if you need the support. I have a surf board ready . Living with a partner in crime is extremely difficult I know.Start with getting really honest with him and putting all your cards on the table and he might surprise you. Please let us know how you're getting on, good or bad! Hello spun pleased your feeling more upbeat. It's just going to take time. You've had such a lot happen in a short time.","witty we're here if you need the support. I have a surf board ready . Living with a partner in crime is extremely difficult I know.Start with getting really honest with him and putting all your cards on the table and he might surprise you. Please let us know how you're getting on, good or bad! Hello spun pleased your feeling more upbeat. It's just going to take time. You've had such a lot happen in a short time.",False
serialtester,Thu 09-Feb-17 20:28:42, I'm ok Flat. Think I've surfed the worst of it tonight., I'm ok Flat. Think I've surfed the worst of it tonight.,False
INeedAWittyNameChange,Thu 09-Feb-17 20:29:49, We don't live together which is good because it does limit the opportunity. Although I think it also makes the temptation worse at the weekend as its easy to think it's only once/twice per week. I know there's some in the house now but I have no desire to take it when I'm here by myself., We don't live together which is good because it does limit the opportunity. Although I think it also makes the temptation worse at the weekend as its easy to think it's only once/twice per week. I know there's some in the house now but I have no desire to take it when I'm here by myself.,False
ILostItInTheEarlyNineties,Thu 09-Feb-17 20:30:59,"Love your theories on things, flat we are definitely going to write a book. )How are you feeling? I wonder if it's become a bit like the forbidden fruit in your mind now you've cut all ties, so it's big in your head? Hopefully that will pass.","Love your theories on things, flat we are definitely going to write a book. )How are you feeling? I wonder if it's become a bit like the forbidden fruit in your mind now you've cut all ties, so it's big in your head? Hopefully that will pass.",False
serialtester,Thu 09-Feb-17 20:37:40," Don't be silly Witty, I could be kept in isolation for 6 months and still want it!! You keep posting my child!"," Don't be silly Witty, I could be kept in isolation for 6 months and still want it!! You keep posting my child!",False
serialtester,Thu 09-Feb-17 20:38:41, We should so write a book. Imagine the launch party?!, We should so write a book. Imagine the launch party?!,False
CleaningLikeAMotherFucker,Thu 09-Feb-17 20:38:46, Hello hello! Don't forget your granite-scrubbing friend over here , Hello hello! Don't forget your granite-scrubbing friend over here ,False
CleaningLikeAMotherFucker,Thu 09-Feb-17 20:39:31, Doing well over here. The cravings seem to have sailed away... for now at least , Doing well over here. The cravings seem to have sailed away... for now at least ,False
serialtester,Thu 09-Feb-17 20:41:20, The bible of the surfboard. By Prof White. Foreword by the Archbishop of the Church of Cocainism. Appendices by Dr Lost. Editing and Granite expertise by Dr Cleaning., The bible of the surfboard. By Prof White. Foreword by the Archbishop of the Church of Cocainism. Appendices by Dr Lost. Editing and Granite expertise by Dr Cleaning.,False
CleaningLikeAMotherFucker,Thu 09-Feb-17 20:42:58, Editor! Yes! I'm sure I have undiagnosed OCD , Editor! Yes! I'm sure I have undiagnosed OCD ,False
serialtester,Thu 09-Feb-17 20:45:58, I knew you were the one for that job clean!!, I knew you were the one for that job clean!!,False
CleaningLikeAMotherFucker,Thu 09-Feb-17 20:46:48,I'm watching Hyacinthe Bucket profess the therapeutic qualities of cleaning! Yes girl!!!!I don't think she was referring to Class A somehow ,I'm watching Hyacinthe Bucket profess the therapeutic qualities of cleaning! Yes girl!!!!I don't think she was referring to Class A somehow ,False
ILostItInTheEarlyNineties,Thu 09-Feb-17 20:47:56,"I'm really admiring you saying there's some in the house now, but I have no desire to take it You're actually in a really good position to knock it on the head altogether if you feel like this now.I would be like a bee to a honeypot I'm afraid ","I'm really admiring you saying there's some in the house now, but I have no desire to take it You're actually in a really good position to knock it on the head altogether if you feel like this now.I would be like a bee to a honeypot I'm afraid ",False
flatwhite45,Thu 09-Feb-17 20:48:49,"Oh Lordy...the launch party! Half of us wouldn't trust ourselves out, and would have to do it via Skype, the other half would be nipping to the bathroom to powder our noses rather too often..,,,Cleaning, welcome back ","Oh Lordy...the launch party! Half of us wouldn't trust ourselves out, and would have to do it via Skype, the other half would be nipping to the bathroom to powder our noses rather too often..,,,Cleaning, welcome back ",False
flatwhite45,Thu 09-Feb-17 20:50:18,Ditto about the bee to the honeypot,Ditto about the bee to the honeypot,False
INeedAWittyNameChange,Thu 09-Feb-17 20:51:22, Lost it's more because I'm scared of something bad happening rather than any kind of self control. Plus who would I talk nonsense to , Lost it's more because I'm scared of something bad happening rather than any kind of self control. Plus who would I talk nonsense to ,False
CleaningLikeAMotherFucker,Thu 09-Feb-17 20:51:28, I'm alive and kicking! And the danger zone isn't scaring me! Hurrah!, I'm alive and kicking! And the danger zone isn't scaring me! Hurrah!,False
serialtester,Thu 09-Feb-17 17:45:03, Welcome to the surfboard!, Welcome to the surfboard!,False
serialtester,Thu 09-Feb-17 20:54:06,"Witty, I admire your self control. For me a lone gram + whisky + fags = a very nice time! Cleaning - love your attitude tonight!","Witty, I admire your self control. For me a lone gram + whisky + fags = a very nice time! Cleaning - love your attitude tonight!",False
ILostItInTheEarlyNineties,Thu 09-Feb-17 20:54:22,"Oh you found us cleaning, I thought you were tucked up in bed with your flu and would wake up and find we'd all fucked off to a new thread  Hope you're a bit better.I didn't think about the book launch party... How to indoctrinate yourself to the way of the surf sounds catchy or maybe Idiot's guide to not taking cocaine as an abridged version.","Oh you found us cleaning, I thought you were tucked up in bed with your flu and would wake up and find we'd all fucked off to a new thread  Hope you're a bit better.I didn't think about the book launch party... How to indoctrinate yourself to the way of the surf sounds catchy or maybe Idiot's guide to not taking cocaine as an abridged version.",False
serialtester,Thu 09-Feb-17 20:58:38, Idiots Guide to Not Taking Cocaine - Chapter 1: How to Sew up your nostrils and other embroidery techniques. Pictures available via Pinterest., Idiots Guide to Not Taking Cocaine - Chapter 1: How to Sew up your nostrils and other embroidery techniques. Pictures available via Pinterest.,False
ILostItInTheEarlyNineties,Thu 09-Feb-17 21:00:57, Chapter 2: The basic acupuncture method of nailing your hands to the table on Friday evenings., Chapter 2: The basic acupuncture method of nailing your hands to the table on Friday evenings.,False
serialtester,Thu 09-Feb-17 21:05:12, Chapter 3: Living in a cashless society so that you can't roll up 20 notes., Chapter 3: Living in a cashless society so that you can't roll up 20 notes.,False
ILostItInTheEarlyNineties,Thu 09-Feb-17 21:08:34, Chapter 4: Gluing bubble wrap to any smooth flat surfaces in your house with pritstick., Chapter 4: Gluing bubble wrap to any smooth flat surfaces in your house with pritstick.,False
serialtester,Thu 09-Feb-17 21:12:22, Chapter 5: Living in a totally money free society involving bartering and trade so that you don't have a debit/credit/loyalty card that might chop things up. Or cash (see chapter 3), Chapter 5: Living in a totally money free society involving bartering and trade so that you don't have a debit/credit/loyalty card that might chop things up. Or cash (see chapter 3),False
ILostItInTheEarlyNineties,Thu 09-Feb-17 21:15:11,"Te he, this book is making me very amused Chapter 6: How to choose a dealer that can only speak Mandarin, rendering it impossible to order anything due to an impenetrable language barrier.","Te he, this book is making me very amused Chapter 6: How to choose a dealer that can only speak Mandarin, rendering it impossible to order anything due to an impenetrable language barrier.",False
flatwhite45,Thu 09-Feb-17 21:16:43,Chapter 6 how to engage your dealer in your rehabilitation process....in Mandarin,Chapter 6 how to engage your dealer in your rehabilitation process....in Mandarin,False
serialtester,Thu 09-Feb-17 21:17:02, Chapter 7: Languages. How to unlearn mandarin Chinese after a desperate night when you needed a cheeky line., Chapter 7: Languages. How to unlearn mandarin Chinese after a desperate night when you needed a cheeky line.,False
flatwhite45,Thu 09-Feb-17 21:17:14,Oops sorry that was chapter 7,Oops sorry that was chapter 7,False
serialtester,Thu 09-Feb-17 21:18:52, We can expand chapter 7!, We can expand chapter 7!,False
serialtester,Thu 09-Feb-17 21:21:03," Chapter 8: Advanced electronics and computing. How to delete, retrieve whilst pissed, and delete again all details of all dealers ever across all platforms."," Chapter 8: Advanced electronics and computing. How to delete, retrieve whilst pissed, and delete again all details of all dealers ever across all platforms.",False
ILostItInTheEarlyNineties,Thu 09-Feb-17 21:21:55,"Chapter 8: Moving to a monastery in the middle of a jungle, cut off from all signs of civilisation.","Chapter 8: Moving to a monastery in the middle of a jungle, cut off from all signs of civilisation.",False
serialtester,Thu 09-Feb-17 21:26:32," Lost, then we can write book 2 ""jungle rehab"" and there will be a film! We'll be rich and famous. What will we spend our money on?!"," Lost, then we can write book 2 ""jungle rehab"" and there will be a film! We'll be rich and famous. What will we spend our money on?!",False
flatwhite45,Thu 09-Feb-17 21:35:42,Ahhhh you two are too funny as they say ,Ahhhh you two are too funny as they say ,False
ILostItInTheEarlyNineties,Thu 09-Feb-17 21:39:47,I think we've written a book. We'll leave the finer details for Cleaning to sort out.Thanks guys I think that's distracted me tonight. This time next year we'll be millionaires.,I think we've written a book. We'll leave the finer details for Cleaning to sort out.Thanks guys I think that's distracted me tonight. This time next year we'll be millionaires.,False
serialtester,Thu 09-Feb-17 21:41:00, Imagine us on coke though flat! Can't speak for lost but I am UNBEARABLE!, Imagine us on coke though flat! Can't speak for lost but I am UNBEARABLE!,False
serialtester,Thu 09-Feb-17 21:43:50, Until tomorrow surfers!, Until tomorrow surfers!,False
costababe,Thu 09-Feb-17 21:45:09," you make me laugh!Ok so had a weekend away booked with the usual crowd, always on the cards?Managed to drastically control quantity, this is mega for me. Nickname Mrs Greedy  and that's compared to the blokes standard, so there.must be brownie points there for me??Hard going day at work on the Monday and a miserable Tuesday.Hoping we have a large surfboard for tomorrow night??Off to bed now after a lovely soak!"," you make me laugh!Ok so had a weekend away booked with the usual crowd, always on the cards?Managed to drastically control quantity, this is mega for me. Nickname Mrs Greedy  and that's compared to the blokes standard, so there.must be brownie points there for me??Hard going day at work on the Monday and a miserable Tuesday.Hoping we have a large surfboard for tomorrow night??Off to bed now after a lovely soak!",False
flatwhite45,Thu 09-Feb-17 21:47:53,"You know what it would be a disaster for us all, but I would SO love to do it one day. Have spent the evening sorting laundry, then had a cigarette and some whisky to take the edge off.....its kinda worked...going to get into bed now where it's safe and read a little more on poor Tara Palmer-Tomkinson, feels so sad for her.","You know what it would be a disaster for us all, but I would SO love to do it one day. Have spent the evening sorting laundry, then had a cigarette and some whisky to take the edge off.....its kinda worked...going to get into bed now where it's safe and read a little more on poor Tara Palmer-Tomkinson, feels so sad for her.",False
ILostItInTheEarlyNineties,Thu 09-Feb-17 21:49:56,Damage control is good Costa. Sounds like you're having a tough week. Fridays are difficult for me too so hopefully we can help each other.(I'm hooked on baths too ) See you all in the stormy waters aka Friday.,Damage control is good Costa. Sounds like you're having a tough week. Fridays are difficult for me too so hopefully we can help each other.(I'm hooked on baths too ) See you all in the stormy waters aka Friday.,False
ILostItInTheEarlyNineties,Thu 09-Feb-17 21:51:44, Yes poor Tara . There but for the grace of God go I., Yes poor Tara . There but for the grace of God go I.,False
flatwhite45,Thu 09-Feb-17 22:02:04,"Costa you and me both, I can out snort most of the guys no problem! Oh what a sad accolade...is this really going to be my only legacy to the world? Well done on reigning it in though, that's a great first step","Costa you and me both, I can out snort most of the guys no problem! Oh what a sad accolade...is this really going to be my only legacy to the world? Well done on reigning it in though, that's a great first step",False
GotToGetMyFingerOut,Thu 09-Feb-17 22:55:54,"Hi guys im back. Was lying in bed and was sure I could smell Charlie and it made me think of you all  Spun glad you are feeling a bit better, your blow out was entirely understandable!Witty, hi, my husbands my biggest problem actually. When he was working abroad a lot last year it never entered my head. Even nights I say we aren't doing it tonight he will already have it ordered.I'm feeling good about this weekend. No cravings, not going to be drinking (although we know this can change) dh is away Sunday for the week with work so Saturday isn't a danger zone just tomorrow to get through! Cleaning, flat, lost, serial you are all doing amazingly well! Flat are you away this weekend again? Can't believe how nice your dealer was  Ours messages practically every week to see if we want an order ","Hi guys im back. Was lying in bed and was sure I could smell Charlie and it made me think of you all  Spun glad you are feeling a bit better, your blow out was entirely understandable!Witty, hi, my husbands my biggest problem actually. When he was working abroad a lot last year it never entered my head. Even nights I say we aren't doing it tonight he will already have it ordered.I'm feeling good about this weekend. No cravings, not going to be drinking (although we know this can change) dh is away Sunday for the week with work so Saturday isn't a danger zone just tomorrow to get through! Cleaning, flat, lost, serial you are all doing amazingly well! Flat are you away this weekend again? Can't believe how nice your dealer was  Ours messages practically every week to see if we want an order ",False
serialtester,Thu 09-Feb-17 17:45:03, Welcome to the surfboard!, Welcome to the surfboard!,False
ILostItInTheEarlyNineties,Fri 10-Feb-17 08:21:08,"Welcome back Got Sounds like you're full of good resolve for the weekend. Come on here if you're struggling later and we'll try to help.Morning all, feeling quite virtuous today although that could change as darkness falls. Flat Are you away this weekend or braving it at home?","Welcome back Got Sounds like you're full of good resolve for the weekend. Come on here if you're struggling later and we'll try to help.Morning all, feeling quite virtuous today although that could change as darkness falls. Flat Are you away this weekend or braving it at home?",False
CleaningLikeAMotherFucker,Fri 10-Feb-17 08:42:12," Morning! I passed out last night, clearly not as recovered as I thought lol. Back at work today as I've booked the first half of next week off to spend half term with ds so I need to catch up. All I want tonight is my bed... no bad thoughts as yet "," Morning! I passed out last night, clearly not as recovered as I thought lol. Back at work today as I've booked the first half of next week off to spend half term with ds so I need to catch up. All I want tonight is my bed... no bad thoughts as yet ",False
ILostItInTheEarlyNineties,Fri 10-Feb-17 09:00:12, Hope you're feeling better now Cleaning. It'll be lovely to have some time off over half term to recharge and spend time with ds., Hope you're feeling better now Cleaning. It'll be lovely to have some time off over half term to recharge and spend time with ds.,False
INeedAWittyNameChange,Fri 10-Feb-17 09:13:49, Just found out OH is out tonight with his mates so that means a good night for me. Need to work on my resistance for tomorrow night., Just found out OH is out tonight with his mates so that means a good night for me. Need to work on my resistance for tomorrow night.,False
GotToGetMyFingerOut,Fri 10-Feb-17 09:49:30,"Hope you are feeling better after an early night tonight cleaning, to enjoy half term. I'm totally confident I will be fine this weekend. Sons getting new carpet fitted today in his room so can keep busy putting everything back in his room tonight and getting my husbands stuff organised for next week. How terrible I felt last Saturday is still so fresh in my mind! Total waste of a day! Lost I know what you mean about its fine in day light and once the darkness falls the struggle can start. We have started watching the box set on Netflix the designated driver so that will keep my mind off it. It's boredom that does it for me usually. The weekend passes too quickly if you don't sit up till 6/7am one night!! I'm off to hoover and wipe down my Sons skirting have a good day everyone.","Hope you are feeling better after an early night tonight cleaning, to enjoy half term. I'm totally confident I will be fine this weekend. Sons getting new carpet fitted today in his room so can keep busy putting everything back in his room tonight and getting my husbands stuff organised for next week. How terrible I felt last Saturday is still so fresh in my mind! Total waste of a day! Lost I know what you mean about its fine in day light and once the darkness falls the struggle can start. We have started watching the box set on Netflix the designated driver so that will keep my mind off it. It's boredom that does it for me usually. The weekend passes too quickly if you don't sit up till 6/7am one night!! I'm off to hoover and wipe down my Sons skirting have a good day everyone.",False
flatwhite45,Fri 10-Feb-17 10:50:09,"Morning all!! Sat down with a coffee at toddler group hell on earth. Not going away this weekend, I am feeling quite anxious, cravings last night were quite strong, and it was only Thursday. Like Witty my DH is out tonight, so hopefully that's Friday covered, just Saturday to plan. Am frantically googling last minute rooms in Tibetan monasteries","Morning all!! Sat down with a coffee at toddler group hell on earth. Not going away this weekend, I am feeling quite anxious, cravings last night were quite strong, and it was only Thursday. Like Witty my DH is out tonight, so hopefully that's Friday covered, just Saturday to plan. Am frantically googling last minute rooms in Tibetan monasteries",False
user1486723488,Fri 10-Feb-17 10:55:50,"New here. Struggling to think of a user name, even though I have lurked on and off since MN started. Loving your book outline  I wish we had had surfboards and forums etc back in the late 80s and 90s. It does get better. ","New here. Struggling to think of a user name, even though I have lurked on and off since MN started. Loving your book outline  I wish we had had surfboards and forums etc back in the late 80s and 90s. It does get better. ",False
